rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/approx_kl,train/adaptive_lr,train/value_loss,train/clip_range_vf,train/n_updates,train/std,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss
13.609169960021973,349.98,26214400,200,1894,13837,0.23945541381835939,0.1,0.0045672795,5e-05,0.6571402916451916,0.2,5050,0.1896965056657791,0.7012496590614319,6.1204022657126185,5e-05,0.8713594079017639,-0.001793446060764836
14.195748329162598,361.41,26345472,201,1894,13907,0.24002532958984374,0.1,0.0044808066,5e-05,0.6674914186121896,0.2,5060,0.19027189910411835,0.6384214162826538,6.043131167814136,5e-05,0.8704067468643188,-0.0021260689133669073
13.862545013427734,352.2,26476544,202,1894,13977,0.23812026977539064,0.1,0.0045031747,5e-05,0.7055907464586199,0.2,5070,0.19093358516693115,0.8061623573303223,5.959857890382409,5e-05,0.8617146015167236,-0.0017939200031833024
13.691458702087402,349.98,26607616,203,1894,14047,0.23642730712890625,0.1,0.004504498,5e-05,0.7018563777208329,0.2,5080,0.1915508210659027,0.7059070467948914,5.875755268707872,5e-05,0.8620550632476807,-0.0019580767078423377
14.416703224182129,363.08,26738688,204,1894,14117,0.23153533935546874,0.1,0.004422564,5e-05,0.7151098538655788,0.2,5090,0.1920638531446457,0.8611078858375549,5.809041187539696,5e-05,0.8649064302444458,-0.001780853992113407
13.61945915222168,347.28,26869760,205,1893,14187,0.23224029541015626,0.1,0.0043780115,5e-05,0.6976482829079032,0.2,5100,0.1927143633365631,0.7459554076194763,5.727546740695834,5e-05,0.8574308753013611,-0.0014903218968811416
14.496888160705566,367.99,27000832,206,1893,14257,0.23441543579101562,0.1,0.0042896876,5e-05,0.7386936172842979,0.2,5110,0.19340461492538452,0.8407672643661499,5.6390528496354815,5e-05,0.8510289192199707,-0.0016462991960906948
14.345019340515137,361.76,27131904,207,1893,14327,0.23342437744140626,0.1,0.0043887235,5e-05,0.7045951083768159,0.2,5120,0.19397518038749695,0.8168794512748718,5.562213012576104,5e-05,0.8543180227279663,-0.001518978911008162
14.598827362060547,369.0,27262976,208,1893,14397,0.23782577514648437,0.1,0.0044583967,5e-05,0.7120279676746577,0.2,5130,0.19468311965465546,0.7555832862854004,5.474373469501733,5e-05,0.8573794364929199,-0.0016725969177059596
14.947212219238281,378.39,27394048,209,1893,14467,0.23570480346679687,0.1,0.004403321,5e-05,0.7396047465968877,0.2,5140,0.19532962143421173,0.879172682762146,5.390796402841806,5e-05,0.8547384738922119,-0.001844205240104202
