time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_range_vf,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl
9043968,3479,2599,955.65,44.686767578125,69,0.7643378229578957,-0.002183053824410308,0.1,0.8085414171218872,0.2,5e-06,0.3921694755554199,0.20253074169158936,2410,0.07174835205078126,4.325311754271388,0.0021542269
9175040,3529,2599,957.56,44.763084411621094,70,0.9419981290586292,-0.002201406834410591,0.1,1.2034181356430054,0.2,5e-06,0.36931127309799194,0.20345985889434814,2420,0.068890380859375,4.214308635145426,0.002058629
9306112,3580,2599,966.38,45.23228073120117,71,0.7533752475399524,-0.0024434695083073166,0.1,1.0444122552871704,0.2,5e-06,0.30047690868377686,0.20441482961177826,2430,0.07475967407226562,4.103317853808403,0.0022229073
9437184,3630,2599,979.2,45.910789489746094,72,0.8856035580858588,-0.0024585776758613066,0.1,0.9106026291847229,0.2,5e-06,0.333368182182312,0.20536641776561737,2440,0.07285232543945312,3.9914161967113615,0.0021549189
9568256,3681,2598,976.92,45.8676872253418,73,0.7948960309615358,-0.0022571406765109713,0.1,1.0469567775726318,0.2,5e-06,0.2953294515609741,0.20635755360126495,2450,0.06849746704101563,3.877769509516656,0.002141545
9699328,3732,2598,977.86,46.08848571777344,74,0.870240985462442,-0.0023622673796580783,0.1,0.9724611043930054,0.2,5e-06,0.3150598406791687,0.20731990039348602,2460,0.07316741943359376,3.764292610436678,0.0021684803
9830400,3782,2598,991.22,46.8967399597168,75,0.843190255528316,-0.0022327821617182052,0.1,1.0951197147369385,0.2,5e-06,0.2405039668083191,0.2082677036523819,2470,0.0727783203125,3.6538885951042177,0.002165637
9961472,3833,2598,974.15,46.085716247558594,76,0.8493223366327584,-0.0021364721997088054,0.1,0.7374650239944458,0.2,5e-06,0.28661423921585083,0.20924608409404755,2480,0.065771484375,3.542615693807602,0.0020745862
10092544,3883,2598,981.98,46.4047966003418,77,0.8536230914527551,-0.002176134561523213,0.1,1.088254690170288,0.2,5e-06,0.2946159243583679,0.21021147072315216,2490,0.06765594482421874,3.4312440529465675,0.0021025594
10223616,3933,2598,984.86,46.46538543701172,78,0.839627929055132,-0.002262943484856805,0.1,0.7993989586830139,0.2,5e-06,0.31488215923309326,0.21120131015777588,2500,0.07036514282226562,3.319567340053618,0.0021828068
10354688,3984,2598,973.0,45.67332458496094,79,0.8536982766818255,-0.0023588420128817233,0.1,1.1781877279281616,0.2,5e-06,0.27779316902160645,0.21219784021377563,2510,0.06949081420898437,3.2067760601639748,0.0021548811
10485760,4035,2598,989.79,47.00043869018555,80,0.8504741581855342,-0.0021412598728602463,0.1,1.0921132564544678,0.2,5e-06,0.3430796265602112,0.21318578720092773,2520,0.06658096313476562,3.0944532953202724,0.0021079502
10616832,4085,2598,972.72,46.31221008300781,81,0.8601800848264247,-0.0021972628541334417,0.1,0.9495390057563782,0.2,5e-06,0.26388829946517944,0.21418166160583496,2530,0.06432342529296875,2.9829002073034645,0.0020556035
10747904,4136,2598,991.24,47.0181884765625,82,0.8340047867270186,-0.002036624674929044,0.1,1.0191627740859985,0.2,5e-06,0.23504352569580078,0.21516960859298706,2540,0.06307601928710938,2.871785141900182,0.0020513083
10878976,4187,2598,968.33,45.82233810424805,83,0.891951474850066,-0.00205271279282897,0.1,1.0962797403335571,0.2,5e-06,0.220955491065979,0.21618284285068512,2550,0.06464614868164062,2.760244935192168,0.002051864
