time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_range_vf,train/loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate
960,10878976,26.8156795501709,83,760.16,11329,-0.0015269424919097218,0.5134095074143261,0.2,1.6393442153930664,0.8259036540985107,820,0.1006949171423912,21.137692925333976,0.1,0.12686920166015625,0.003275739,1e-05
971,11010048,26.242136001586914,84,738.65,11330,-0.0014697010334202786,0.5395576944341883,0.2,1.6733651161193848,0.7928574681282043,830,0.10155376046895981,20.933080640435218,0.1,0.1270477294921875,0.0032787528,1e-05
983,11141120,26.69680404663086,85,759.39,11333,-0.001572652784670936,0.5019964220467955,0.2,1.4380934238433838,0.8012036681175232,840,0.10245881974697113,20.72375508546829,0.1,0.12620086669921876,0.0033326729,1e-05
994,11272192,25.498878479003906,86,722.11,11333,-0.0015908698880593875,0.504778892826289,0.2,1.4429514408111572,0.7889879941940308,850,0.10335790365934372,20.512461476027966,0.1,0.12569656372070312,0.0033481545,1e-05
1006,11403264,25.753746032714844,87,739.54,11333,-0.0015073878930706996,0.5338997720042243,0.2,1.807539939880371,0.7719066739082336,860,0.10426370799541473,20.303298576176168,0.1,0.12424468994140625,0.0032464901,1e-05
1017,11534336,26.074888229370117,88,753.36,11332,-0.0015480499574550776,0.5221090770093724,0.2,1.5839985609054565,0.8198845386505127,870,0.1051601767539978,20.09591982215643,0.1,0.12149276733398437,0.0032725453,1e-05
1029,11665408,25.73784828186035,89,738.75,11329,-0.0013286784023875953,0.4853766111074947,0.2,1.382135033607483,0.8134943842887878,880,0.10607513785362244,19.889045086503028,0.1,0.1184051513671875,0.0032232627,1e-05
1041,11796480,24.943466186523438,90,728.28,11331,-0.0013316033322553268,0.5433008479420096,0.2,1.5098670721054077,0.7842885255813599,890,0.10698424279689789,19.682569244503973,0.1,0.1222015380859375,0.0032400643,1e-05
1052,11927552,26.372974395751953,91,752.66,11329,-0.0015652615433282336,0.48567508066771553,0.2,1.4012508392333984,0.7993630170822144,900,0.10789936780929565,19.478706265985966,0.1,0.1232086181640625,0.0032686589,1e-05
1064,12058624,24.33600616455078,92,714.84,11331,-0.001407568560080108,0.5515632696915418,0.2,1.609715461730957,0.7986531257629395,910,0.10882830619812012,19.272875402867793,0.1,0.122406005859375,0.0032544897,1e-05
1075,12189696,26.754655838012695,93,764.46,11330,-0.001439625129205524,0.4745464858133346,0.2,1.379127025604248,0.8219109773635864,920,0.10979440808296204,19.063908982276917,0.1,0.11689834594726563,0.0032021813,1e-05
1087,12320768,26.623497009277344,94,757.03,11332,-0.0015399658501337398,0.5344856572337449,0.2,1.5135538578033447,0.7721607685089111,930,0.11076544225215912,18.851746074855328,0.1,0.12436752319335938,0.0033045535,1e-05
1098,12451840,25.755386352539062,95,740.51,11332,-0.0014176433425745927,0.48989772573113444,0.2,1.4685568809509277,0.7948180437088013,940,0.11174313724040985,18.641271372139453,0.1,0.11434478759765625,0.003193648,1e-05
1110,12582912,26.441904067993164,96,760.36,11332,-0.0016829066534228333,0.552603897312656,0.2,1.4483578205108643,0.8080308437347412,950,0.11270463466644287,18.432744693756103,0.1,0.12667999267578126,0.0033392794,1e-05
1121,12713984,26.630422592163086,97,763.65,11334,-0.0016352193553757389,0.4657648312626407,0.2,1.415313959121704,0.8366894721984863,960,0.11369773745536804,18.22477672547102,0.1,0.11956405639648438,0.0032239726,1e-05
1133,12845056,26.544662475585938,98,750.58,11331,-0.0015626640584741835,0.4730756985838525,0.2,1.45455002784729,0.7957623600959778,970,0.11470012366771698,18.014241003990172,0.1,0.1251220703125,0.0033310477,1e-05
1145,12976128,26.940229415893555,99,762.81,11331,-0.001547658790332207,0.5558876355178655,0.2,1.3476405143737793,0.7404207587242126,980,0.11572453379631042,17.80196543633938,0.1,0.1199920654296875,0.0032561636,1e-05
1156,13107200,27.975757598876953,100,795.12,11330,-0.0014480411648946756,0.5032754378626123,0.2,1.2021684646606445,0.7617529034614563,990,0.11672846972942352,17.592142236232757,0.1,0.114801025390625,0.003118582,1e-05
1168,13238272,24.974260330200195,101,723.44,11329,-0.0014857235892122844,0.5242472043028101,0.2,1.3631079196929932,0.7857540845870972,1000,0.11775191873311996,17.383637487888336,0.1,0.11881942749023437,0.0032239277,1e-05
1180,13369344,26.665407180786133,102,767.37,11329,-0.0015754533863400865,0.5191738162073307,0.2,1.4002702236175537,0.8300966620445251,1010,0.11874063313007355,17.178873592615126,0.1,0.11873931884765625,0.0031324374,1e-05
1191,13500416,25.181760787963867,103,727.18,11331,-0.0016754348675021903,0.4942116074729711,0.2,1.3624242544174194,0.8204747438430786,1020,0.11979343742132187,16.971582125127316,0.1,0.11771316528320312,0.0031846808,1e-05
