time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/value_loss,train/approx_kl
7340032,11224,607.93,21.736207962036133,56,653,2080,0.007096099853515625,0.1,-0.0013291778561324464,1e-06,0.918599545955658,0.18606680631637573,0.855021595954895,0.2,6.318320479243994,0.5950082686264068,0.00088789035
7471104,11234,624.39,22.327320098876953,57,665,2090,0.005275726318359375,0.1,-0.0011994853352916834,1e-06,0.7244088053703308,0.18624328076839447,0.8710682392120361,0.2,6.295791056007147,0.5167793527012691,0.00085679325
7602176,11244,560.11,19.27950668334961,58,676,2100,0.005414581298828125,0.1,-0.0012746367707222816,1e-06,0.9429113268852234,0.18641698360443115,0.8656409978866577,0.2,6.273227860406041,0.563192956475541,0.0008742154
7733248,11253,645.34,23.201194763183594,59,687,2110,0.006337738037109375,0.1,-0.0013185978602450632,1e-06,0.8158460259437561,0.18658730387687683,0.8806343674659729,0.2,6.251102647557855,0.5392657209420577,0.0008978679
7864320,11259,549.78,19.252822875976562,60,698,2120,0.00647125244140625,0.1,-0.0013552348949815497,1e-06,0.8953652381896973,0.18677298724651337,0.8652997016906738,0.2,6.228104774281382,0.5443204545415938,0.0009268428
7995392,11265,624.63,23.2679386138916,61,709,2130,0.006322479248046875,0.1,-0.0013337172076717252,1e-06,0.8693522810935974,0.18694692850112915,0.8740405440330505,0.2,6.205108124017715,0.5373028672067448,0.000875742
8126464,11268,558.54,20.042570114135742,62,721,2140,0.006383514404296875,0.1,-0.0012246227626746986,1e-06,0.7471636533737183,0.18712282180786133,0.8598833084106445,0.2,6.182630863413214,0.5625104075530544,0.00091106014
8257536,11261,623.04,22.71502685546875,63,733,2150,0.0058074951171875,0.1,-0.0012755312696754117,1e-06,0.8276205062866211,0.18730196356773376,0.8572041988372803,0.2,6.159841267392039,0.5570943497586995,0.00089975854
8388608,11247,615.69,22.405183792114258,64,745,2160,0.007314300537109375,0.1,-0.001282745548633102,1e-06,0.9458808898925781,0.187482088804245,0.8588728904724121,0.2,6.1368259258568285,0.5997275291243568,0.00093725236
8519680,11246,593.64,21.07110595703125,65,757,2170,0.005002593994140625,0.1,-0.0011542162641489996,1e-06,0.8166953325271606,0.18765714764595032,0.8740856647491455,0.2,6.114145069569349,0.5231709074927494,0.00082933356
8650752,11248,620.69,22.007551193237305,66,769,2180,0.003974151611328125,0.1,-0.0011921305090254464,1e-06,0.7622144222259521,0.18783476948738098,0.8608034253120422,0.2,6.09157758615911,0.5703518954804168,0.00082315295
8781824,11252,621.76,22.35873031616211,67,780,2190,0.00550079345703125,0.1,-0.0011926365347790125,1e-06,0.9867824912071228,0.18800759315490723,0.8711397051811218,0.2,6.069235740974546,0.5496063420083374,0.0008824586
8912896,11251,608.78,21.824440002441406,68,792,2200,0.00695343017578125,0.1,-0.0012594320220159715,1e-06,1.0700762271881104,0.1881851851940155,0.8676135540008545,0.2,6.046821988746524,0.567449047928676,0.0009296035
9043968,11247,568.2,20.68303871154785,69,804,2210,0.006362152099609375,0.1,-0.001282430235096399,1e-06,0.9072231650352478,0.18836066126823425,0.8719991445541382,0.2,6.024319971352815,0.5342997882515192,0.00092524436
9175040,11249,623.37,22.719629287719727,70,815,2220,0.006017303466796875,0.1,-0.0013140430774001288,1e-06,0.8720148801803589,0.18854348361492157,0.8642723560333252,0.2,6.00144760645926,0.5911696017254144,0.00090853084
9306112,11241,616.61,22.058813095092773,71,827,2230,0.004686737060546875,0.1,-0.001102224897567794,1e-06,0.7563073635101318,0.1887197196483612,0.861794114112854,0.2,5.978660808503628,0.5683333827182651,0.0008644323
9437184,11237,538.35,18.202342987060547,72,839,2240,0.00522613525390625,0.1,-0.0013045415846136166,1e-06,0.8675376176834106,0.1888938844203949,0.8635340929031372,0.2,5.956414566189051,0.5658677062951029,0.00084602355
