time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/std,train/n_updates,train/learning_rate,train/adaptive_lr,train/loss,train/clip_range_vf,train/clip_range
6963,107,560.19,14024704,20.915786743164062,2013,-0.0005168352668533771,0.22521896362304689,0.92421555519104,30.61725643873215,0.0049716523,0.3838877033442259,0.07115840166807175,1060,5e-05,5e-05,0.7152999639511108,0.2,0.1
7029,108,544.07,14155776,20.947267532348633,2013,-0.0005364413927509304,0.2237030029296875,0.9224779605865479,30.528805001080038,0.005100821,0.4068973132641986,0.07142172753810883,1070,5e-05,5e-05,0.7299522161483765,0.2,0.1
7094,109,573.34,14286848,21.806562423706055,2013,-0.0001439968405975378,0.22067489624023437,0.9178996682167053,30.446143609285354,0.0048882053,0.41200476442463696,0.07164767384529114,1080,5e-05,5e-05,0.6845739483833313,0.2,0.1
7159,110,557.17,14417920,21.367088317871094,2013,-0.0006118328501315773,0.22763900756835936,0.918509304523468,30.359892597794534,0.0050000725,0.39780187979340553,0.0719001516699791,1090,5e-05,5e-05,0.6902753114700317,0.2,0.1
7224,111,645.66,14548992,24.531042098999023,2013,-0.0005472314762755559,0.21970672607421876,0.9143185019493103,30.276725144684313,0.0048912964,0.39623265536502006,0.07213065773248672,1100,5e-05,5e-05,0.6126419305801392,0.2,0.1
7289,112,591.9,14680064,22.246252059936523,2013,-0.0005938566157965397,0.222113037109375,0.9159731864929199,30.194262224435807,0.005040785,0.3703835160471499,0.07237762212753296,1110,5e-05,5e-05,0.6942625045776367,0.2,0.1
7354,113,573.26,14811136,22.058860778808594,2013,-0.0005339547844414483,0.22111282348632813,0.9205053448677063,30.113235004246235,0.0050691697,0.3838022853247821,0.07260794937610626,1120,5e-05,5e-05,0.6904600858688354,0.2,0.1
7420,114,510.46,14942208,19.7208309173584,2013,-0.000669692026622215,0.22300567626953124,0.915835976600647,30.034040184319018,0.0049661086,0.41527676961850374,0.07284309715032578,1130,5e-05,5e-05,0.722845196723938,0.2,0.1
7485,115,531.07,15073280,20.731483459472656,2013,-0.00046790168278221245,0.22369613647460937,0.9189364314079285,29.946410995721816,0.004965913,0.433089944999665,0.07310330122709274,1140,5e-05,5e-05,0.6604456901550293,0.2,0.1
7550,116,538.22,15204352,20.910165786743164,2013,-0.0005478556685375224,0.222698974609375,0.9153170585632324,29.857082360982893,0.00506981,0.4295564029365778,0.07336609065532684,1150,5e-05,5e-05,0.7570968866348267,0.2,0.1
7616,117,586.24,15335424,22.209081649780273,2013,-0.00047388314624186023,0.2210662841796875,0.9150434136390686,29.773903185129164,0.005111234,0.4620680737309158,0.07360215485095978,1160,5e-05,5e-05,0.7020590901374817,0.2,0.1
7681,118,584.39,15466496,22.542442321777344,2013,-0.0005489947062642386,0.22180938720703125,0.9147484302520752,29.687020167708397,0.004986194,0.418635448650457,0.07386182248592377,1170,5e-05,5e-05,0.6728612184524536,0.2,0.1
7746,119,594.68,15597568,22.898473739624023,2013,-0.0009334204192327888,0.22316131591796876,0.9147600531578064,29.593865908682346,0.0050660362,0.41158632789738475,0.07414466142654419,1180,5e-05,5e-05,0.7054833769798279,0.2,0.1
7810,120,589.46,15728640,22.587539672851562,2013,-0.0006182722141602426,0.21945877075195314,0.9186025261878967,29.49649455398321,0.0049316217,0.40827725927811115,0.07443264871835709,1190,5e-05,5e-05,0.6620690822601318,0.2,0.1
7874,121,567.7,15859712,21.809043884277344,2013,-0.00043038093917857623,0.2169219970703125,0.9209248423576355,29.40991422533989,0.004897897,0.3987677235389128,0.07468117028474808,1200,5e-05,5e-05,0.6501873731613159,0.2,0.1
7939,122,582.87,15990784,21.922243118286133,2013,-0.0007412336172819778,0.222381591796875,0.9182571172714233,29.324025270342826,0.004988932,0.4221891118912026,0.07493928074836731,1210,5e-05,5e-05,0.7466815710067749,0.2,0.1
8004,123,534.61,16121856,20.482126235961914,2014,-0.0006802976776270952,0.2237457275390625,0.9177034497261047,29.241644218564034,0.0049307123,0.44583573050331327,0.07518211007118225,1220,5e-05,5e-05,0.7331219911575317,0.2,0.1
8069,124,515.62,16252928,19.794025421142578,2014,-0.0006490632514214667,0.22415313720703126,0.9206780791282654,29.160130271315573,0.005086283,0.4508820834569633,0.07543033361434937,1230,5e-05,5e-05,0.7331224083900452,0.2,0.1
8135,125,506.7,16384000,19.007230758666992,2013,-0.0006577920487416122,0.2261444091796875,0.9181203246116638,29.072783946990967,0.005024378,0.4668160496512428,0.07569720596075058,1240,5e-05,5e-05,0.7234865427017212,0.2,0.1
8200,126,494.88,16515072,18.942352294921875,2013,-0.0010386812809201728,0.22874908447265624,0.9206118583679199,28.985801766812802,0.00512855,0.46792071680538355,0.0759681984782219,1250,5e-05,5e-05,0.8332124352455139,0.2,0.1
