time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_range_vf
7602176,1007,802.93,37.381080627441406,7542,58,1e-06,0.02479400634765625,0.9523041248321533,-0.0020939118337082617,0.6972141508478671,2100,0.0684410110116005,0.8534061908721924,0.1,0.0012169778,31.575954611599446,0.2
7733248,1025,808.32,37.61405944824219,7542,59,1e-06,0.028600311279296874,0.9840472936630249,-0.002227968203169439,0.6609230759320781,2110,0.0684581771492958,0.8787624835968018,0.1,0.0012811625,31.56898699402809,0.2
7864320,1042,814.55,38.17081069946289,7544,60,1e-06,0.028281402587890626,0.9319419264793396,-0.0023366606759736897,0.6343113753478974,2120,0.06847479939460754,0.8778526186943054,0.1,0.0012812407,31.562854692339897,0.2
7995392,1059,741.81,34.9560661315918,7545,61,1e-06,0.02625732421875,1.0012120008468628,-0.0021973024196995537,0.6882448898395523,2130,0.06849478930234909,0.8733545541763306,0.1,0.0012585261,31.556164237856866,0.2
8126464,1076,808.06,38.08142852783203,7546,62,1e-06,0.0293060302734375,0.9386726021766663,-0.0022408155394259667,0.6411987261846661,2140,0.0685129389166832,0.8818560838699341,0.1,0.0012942355,31.54920458048582,0.2
8257536,1094,819.11,38.50886154174805,7547,63,1e-06,0.027365875244140626,0.972968339920044,-0.0021345540882066415,0.669078380917199,2150,0.06853056699037552,0.8591468930244446,0.1,0.0012905225,31.542660689353944,0.2
8388608,1111,834.67,39.20366668701172,7547,64,1e-06,0.02569580078125,0.9413003325462341,-0.0020063425389707846,0.6625494817271829,2160,0.06855028867721558,0.8642669320106506,0.1,0.0012601777,31.53586963415146,0.2
8519680,1128,841.98,39.6081428527832,7548,65,1e-06,0.03007354736328125,0.8615801334381104,-0.0021693840590160107,0.6340358193265274,2170,0.06856905668973923,0.8578627705574036,0.1,0.0012770492,31.52885722666979,0.2
8650752,1145,851.29,39.91511535644531,7548,66,1e-06,0.02588958740234375,0.9092118740081787,-0.002131975978409173,0.6295925042126328,2180,0.06858515739440918,0.8720338344573975,0.1,0.0012737724,31.522480030357837,0.2
8781824,1163,838.85,39.82908630371094,7550,67,1e-06,0.025209808349609376,0.863225519657135,-0.0020103621133785053,0.6367871201829984,2190,0.0686040148139,0.8733851313591003,0.1,0.0012629181,31.51609744876623,0.2
8912896,1180,824.44,39.178009033203125,7551,68,1e-06,0.024677276611328125,0.8768178820610046,-0.0018841901332962152,0.6499043737538159,2200,0.06862397491931915,0.8484342098236084,0.1,0.0012401668,31.50902535766363,0.2
9043968,1197,789.13,37.21295166015625,7552,69,1e-06,0.028931427001953124,1.158555269241333,-0.0022501670385281615,0.731291799293831,2210,0.06864127516746521,0.8517639636993408,0.1,0.0013077639,31.50223574489355,0.2
9175040,1214,822.65,39.041080474853516,7553,70,1e-06,0.02943115234375,0.8556216955184937,-0.002126848308444096,0.6585642346879468,2220,0.06865743547677994,0.8672424554824829,0.1,0.0013071441,31.496163319051266,0.2
9306112,1231,791.21,37.39205551147461,7553,71,1e-06,0.025665283203125,1.0814597606658936,-0.002070569248917309,0.7288149195257574,2230,0.06867223232984543,0.8540358543395996,0.1,0.0012455122,31.490501216053964,0.2
9437184,1249,780.87,36.6466064453125,7555,72,1e-06,0.026862335205078126,0.9687508940696716,-0.002131186342330693,0.6988937624497339,2240,0.0686902180314064,0.874573826789856,0.1,0.0012755599,31.484530505537986,0.2
9568256,1266,832.14,39.21686935424805,7557,73,1e-06,0.024552154541015624,1.0004291534423828,-0.0019380745079160989,0.6473101363750174,2250,0.0687049925327301,0.8704608082771301,0.1,0.0012116944,31.478583075106144,0.2
9699328,1283,848.56,40.167144775390625,7558,74,1e-06,0.02728271484375,0.9635189771652222,-0.0021085158544337903,0.6910393938655034,2260,0.06872399151325226,0.8501850366592407,0.1,0.0012666333,31.472439163923262,0.2
9830400,1300,900.62,42.50749588012695,7559,75,1e-06,0.0301544189453125,0.8577017784118652,-0.0021733309731644113,0.6447826218558476,2270,0.06874265521764755,0.8467606902122498,0.1,0.0013083646,31.465593376755713,0.2
9961472,1317,872.93,41.478214263916016,7561,76,1e-06,0.028835296630859375,0.8972621560096741,-0.002156667917915911,0.7009989849058911,2280,0.06875942647457123,0.8359746932983398,0.1,0.0013223886,31.459170830249786,0.2
10092544,1334,909.03,43.585205078125,7562,77,1e-06,0.02578887939453125,0.8537092208862305,-0.0019817338842699427,0.6787420285167173,2290,0.06877700984477997,0.8353330492973328,0.1,0.0012547831,31.452905456721783,0.2
