time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_range_vf,train/explained_variance,train/clip_fraction
1104,35.21861267089844,775.44,7716,8519680,65,0.05660566687583923,640,-0.0026420308589877096,36.33760665357113,0.8573704957962036,1e-05,0.1,0.0022264305,0.5760937554296106,0.2,0.8897849321365356,0.11117782592773437
1121,35.90644836425781,796.0,7716,8650752,66,0.056705400347709656,650,-0.0023415498574195226,36.29326111376285,0.9290727376937866,1e-05,0.1,0.0021529663,0.599786743381992,0.2,0.8860910534858704,0.10472030639648437
1138,34.547821044921875,768.98,7716,8781824,67,0.056802429258823395,660,-0.002346717927230202,36.24994400441646,0.8576306104660034,1e-05,0.1,0.0021573356,0.5945627826731652,0.2,0.8821169137954712,0.10458755493164062
1155,34.00066375732422,759.53,7714,8912896,68,0.0569227896630764,670,-0.002653898738344651,36.20162691175938,0.9745998382568359,1e-05,0.1,0.0022428897,0.5764859699876979,0.2,0.8970137238502502,0.10584564208984375
1172,34.49648666381836,758.3,7713,9043968,69,0.05703093111515045,680,-0.0026431024974044705,36.151999884843825,0.9283266067504883,1e-05,0.1,0.0022223445,0.5619594808202237,0.2,0.9012249112129211,0.10470809936523437
1189,35.368350982666016,768.35,7713,9175040,70,0.05714520066976547,690,-0.002436939925792103,36.1029413819313,0.8954819440841675,1e-05,0.1,0.0021623587,0.5604246910195798,0.2,0.887778103351593,0.10218048095703125
1206,33.5851936340332,740.05,7713,9306112,71,0.05725166201591492,700,-0.0023459964521066468,36.05490939021111,0.9661554098129272,1e-05,0.1,0.0022154804,0.6281109705800191,0.2,0.8781175017356873,0.10589141845703125
1223,33.62678527832031,731.45,7713,9437184,72,0.057366933673620224,710,-0.002514484499806713,36.00644790232182,1.1625005006790161,1e-05,0.1,0.002142462,0.6450726970797405,0.2,0.8829658627510071,0.10502548217773437
1240,36.013675689697266,787.4,7713,9568256,73,0.057480402290821075,720,-0.0023385010668789618,35.956660631299016,1.0904755592346191,1e-05,0.1,0.0021008868,0.6412255311151966,0.2,0.8737360239028931,0.10338973999023438
1257,34.757965087890625,759.06,7713,9699328,74,0.05759967863559723,730,-0.0022258909645188397,35.905985444784164,1.1055092811584473,1e-05,0.1,0.0021585356,0.649088078760542,0.2,0.8697304129600525,0.10571823120117188
1274,33.87556838989258,744.95,7713,9830400,75,0.057716332376003265,740,-0.0022432309940541018,35.85454381704331,0.9291640520095825,1e-05,0.1,0.0021968721,0.6457477361662314,0.2,0.8657096028327942,0.10362548828125
1291,36.010921478271484,791.04,7714,9961472,76,0.05783862620592117,750,-0.0023178077991360623,35.803021928668024,0.9660411477088928,1e-05,0.1,0.002138328,0.628574012964964,0.2,0.8875866532325745,0.10507659912109375
1308,38.737300872802734,849.05,7714,10092544,77,0.057951707392930984,760,-0.002386332496871546,35.752260375022885,0.8512749671936035,1e-05,0.1,0.0021932174,0.5687239442020655,0.2,0.8684105277061462,0.10799407958984375
1325,37.60700607299805,815.69,7715,10223616,78,0.0580763965845108,770,-0.0022556609187631693,35.70066325068474,1.0292513370513916,1e-05,0.1,0.0021932232,0.6840079392306506,0.2,0.8570558428764343,0.10780792236328125
1342,38.78753662109375,848.83,7714,10354688,79,0.058184366673231125,780,-0.00233090393621751,35.65078792273998,0.971549391746521,1e-05,0.1,0.002273165,0.6087896706769242,0.2,0.8505057096481323,0.10889892578125
1359,36.96652603149414,809.15,7714,10485760,80,0.058305490761995316,790,-0.0023324129688262474,35.60171689093113,1.0573439598083496,1e-05,0.1,0.0022098683,0.6881753297755495,0.2,0.8556501865386963,0.1067535400390625
1376,37.30553436279297,818.73,7714,10616832,81,0.05843587964773178,800,-0.0024669035630722645,35.54721425175667,0.9753420352935791,1e-05,0.1,0.0022225743,0.6180960950674489,0.2,0.8797497153282166,0.10710067749023437
1393,35.766319274902344,789.24,7714,10747904,82,0.058560267090797424,810,-0.0025295173721133326,35.49293164610863,0.8230794668197632,1e-05,0.1,0.0022009646,0.6154868891695514,0.2,0.875408411026001,0.108734130859375
1410,37.52264404296875,819.2,7714,10878976,83,0.05866903439164162,820,-0.0022250407435876695,35.443846616148946,1.0504510402679443,1e-05,0.1,0.002191291,0.6578918303363025,0.2,0.8634395003318787,0.1061553955078125
1427,36.447052001953125,794.92,7715,11010048,84,0.05879182368516922,830,-0.002209994271015603,35.39389958679676,1.1116645336151123,1e-05,0.1,0.0021432834,0.6884552304400131,0.2,0.8425900936126709,0.10513916015625
1443,37.54443359375,809.41,7716,11141120,85,0.05891508609056473,840,-0.0022251416926337697,35.34147775173187,0.9668645858764648,1e-05,0.1,0.002139486,0.6667684581363573,0.2,0.8700768947601318,0.1040313720703125
1460,36.685001373291016,791.81,7716,11272192,86,0.059030283242464066,850,-0.0022324502692754322,35.29131415486336,0.8877749443054199,1e-05,0.1,0.002225981,0.6370212563080713,0.2,0.8554661273956299,0.10623245239257813
1477,38.39656066894531,831.91,7717,11403264,87,0.05915999785065651,860,-0.002260773788111692,35.23905657529831,1.0679831504821777,1e-05,0.1,0.0021635252,0.6929876323323697,0.2,0.857600748538971,0.10551986694335938
1494,37.3465461730957,812.42,7717,11534336,88,0.05926920101046562,870,-0.0022308354521555886,35.18895870149136,0.9054878950119019,1e-05,0.1,0.0021024034,0.5889759683515876,0.2,0.8749768137931824,0.09828872680664062
1511,38.323394775390625,827.96,7717,11665408,89,0.059394460171461105,880,-0.002485163809569713,35.139202278852466,1.0800764560699463,1e-05,0.1,0.0022062978,0.6461124183377251,0.2,0.858569324016571,0.10866928100585938
