time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
3446,513.29,2205,58,19.695056915283203,7602176,0.2,37.38583444058895,0.0016897589,0.06726608276367188,-0.0026547467130512816,0.05426381155848503,0.5264794579008594,0.9078255295753479,4.444444444444445e-06,0.1,0.9051653146743774,570,4.444444444444445e-06
3505,523.52,2205,59,20.07054901123047,7733248,0.2,37.36201839745045,0.0016576322,0.06455307006835938,-0.0025709019933856324,0.0543149895966053,0.490057547390461,0.8240028023719788,4.444444444444445e-06,0.1,0.9055124521255493,580,4.444444444444445e-06
3565,535.1,2205,60,20.619529724121094,7864320,0.2,37.33638605773449,0.0017169164,0.06896209716796875,-0.0027614050283773393,0.054374102503061295,0.4888678977498785,0.8771117925643921,4.444444444444445e-06,0.1,0.9071487188339233,590,4.444444444444445e-06
3625,529.34,2205,61,20.799854278564453,7995392,0.2,37.31051191091537,0.001737066,0.06744308471679687,-0.0025867840988667012,0.05442783981561661,0.5016334329498932,0.93101567029953,4.444444444444445e-06,0.1,0.8944816589355469,600,4.444444444444445e-06
3685,484.8,2204,62,19.028221130371094,8126464,0.2,37.286112213134764,0.0017003056,0.067547607421875,-0.0027179868096936844,0.054481204599142075,0.5197502978844568,0.8632457256317139,4.444444444444445e-06,0.1,0.8975207209587097,610,4.444444444444445e-06
3745,471.17,2204,63,18.474576950073242,8257536,0.2,37.26196940243244,0.0017593476,0.07085647583007812,-0.002783688413182972,0.05453271046280861,0.5377310083480552,0.9157872200012207,4.444444444444445e-06,0.1,0.9013065695762634,620,4.444444444444445e-06
3804,494.74,2205,64,19.471092224121094,8388608,0.2,37.23813229203224,0.0017312827,0.07108917236328124,-0.0028191283482556172,0.054585184901952744,0.5288807191187516,0.855605959892273,4.444444444444445e-06,0.1,0.8983291387557983,630,4.444444444444445e-06
3863,480.16,2205,65,18.753664016723633,8519680,0.2,37.21368629932404,0.0016363808,0.06360015869140626,-0.0024585671544627985,0.05463942885398865,0.5607637067791075,0.8880770206451416,4.444444444444445e-06,0.1,0.8918527364730835,640,4.444444444444445e-06
3922,497.76,2205,66,19.43856430053711,8650752,0.2,37.18880109488964,0.0017468728,0.06899566650390625,-0.0027047339423916126,0.054693881422281265,0.535578653216362,0.8760914206504822,4.444444444444445e-06,0.1,0.8998335599899292,650,4.444444444444445e-06
3981,515.96,2205,67,20.32115364074707,8781824,0.2,37.16286258995533,0.0016795674,0.06582870483398437,-0.002553192761979517,0.05475281551480293,0.5258113236865029,0.8905072212219238,4.444444444444445e-06,0.1,0.9015141129493713,660,4.444444444444445e-06
