rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/clip_range_vf,train/loss,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate
640.46,1696,19791872,151,11669,22.506542205810547,0.8441702127456665,7710,0.2,0.5182273387908936,0.5617032464360818,0.2398689091205597,0.1,-0.001166317467504996,0.0009806692,0.22394383307546378,0.0117156982421875,1e-06
578.51,1707,19922944,152,11668,20.420368194580078,0.8628038763999939,7720,0.2,0.459198921918869,0.5681988475378603,0.2400943487882614,0.1,-0.0010014000249611854,0.00090169744,0.20149690685793759,0.00814361572265625,1e-06
635.32,1718,20054016,153,11668,22.180173873901367,0.8689177632331848,7730,0.2,0.6116620302200317,0.5604175539454446,0.24032054841518402,0.1,-0.0011465850740023597,0.0009386721,0.1788988746702671,0.00837249755859375,1e-06
569.4,1730,20185088,154,11667,19.278724670410156,0.8789669275283813,7740,0.2,0.5560126304626465,0.5160829264204949,0.24054424464702606,0.1,-0.0011032609253561533,0.0009147404,0.1564670012332499,0.007474517822265625,1e-06
620.73,1741,20316160,155,11667,22.275989532470703,0.881883978843689,7750,0.2,0.5223389267921448,0.5222752281697467,0.24077372252941132,0.1,-0.0011936143402635935,0.0009658126,0.13385093128308653,0.009026336669921874,1e-06
652.84,1752,20447232,156,11667,23.43841552734375,0.8739423751831055,7760,0.2,0.47758781909942627,0.5508768901694566,0.24099920690059662,0.1,-0.0009975992274121382,0.0008523179,0.11120764743536711,0.00576324462890625,1e-06
608.9,1763,20578304,157,11668,21.4010066986084,0.8668482303619385,7770,0.2,0.6242213845252991,0.5327436498133465,0.2412295639514923,0.1,-0.0012150474955888058,0.0010328838,0.0884723429568112,0.013360595703125,1e-06
630.89,1774,20709376,158,11668,21.781391143798828,0.8527341485023499,7780,0.2,0.47630995512008667,0.5483078731689602,0.24146053194999695,0.1,-0.0011504896480801108,0.000984532,0.06554634999483824,0.010005950927734375,1e-06
683.17,1785,20840448,159,11669,24.36761474609375,0.8586819171905518,7790,0.2,0.5415410995483398,0.5327264269581065,0.24168920516967773,0.1,-0.001107141900138231,0.00096616056,0.04272145666182041,0.010263824462890625,1e-06
691.66,1797,20971520,160,11669,24.608976364135742,0.8580876588821411,7800,0.2,0.4671494662761688,0.5299946567974985,0.24191796779632568,0.1,-0.0011669418517158193,0.0009952193,0.020010542683303358,0.01260833740234375,1e-06
